video,country,continent,subcontinent,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
NULL,NULL,NULL,NULL,21628,1799,316,1268,47,242,81,198,33745,3386,93,26.72,0,0,0,0,0,0,0,0.0964,0.0166,83,2225,8,37,414,67
-2j_mud7JPE,NULL,NULL,NULL,97,3,1,12,0,1,0,0,194,14,120,4.42,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
-o9Naxpk0cg,NULL,NULL,NULL,905,79,18,43,0,17,3,7,643,57,42,59.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,10,1
-zAbOcb4Pns,NULL,NULL,NULL,53,5,6,13,0,0,0,1,27,2,30,55.33,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
44mfjROTX6w,NULL,NULL,NULL,130,6,3,15,1,0,0,2,352,19,162,30.219999999999995,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
4Ecp_xiU6Gc,NULL,NULL,NULL,115,10,6,12,1,2,0,1,153,26,80,25.85,0,0,0,0,0,0,0,0.5,0.0,2,7,1,0,2,0
549LM6U1yfs,NULL,NULL,NULL,117,18,2,9,1,3,1,1,206,20,105,29.09,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
5OpcECI2ZH4,NULL,NULL,NULL,151,15,5,17,0,2,0,8,192,16,76,71.41,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
5by1jF54fEo,NULL,NULL,NULL,132,11,4,16,0,3,0,5,285,11,129,38.62,0,0,0,0,0,0,0,0.0,0.0,0,30,0,0,0,0
5pbDN9uW9ZU,NULL,NULL,NULL,154,9,4,19,1,0,0,1,59,4,23,54.27000000000001,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
